,bathrooms,bedrooms,building_id,created,description,display_address,features,interest_level,latitude,listing_id,longitude,manager_id,photos,price,street_address,price_scaled,GeoC,county,neigh,cl_sub
62589,1.0,2,0,2016-05-13 01:33:23,"Incredible deal on this Inwood one bedroom. Located in an amazing neighborhood. Just minutes from the 1 and A trains! Photos coming soon. ~RENT WITH ME AND RENT CAREFREE!~ To view this apartment, call, email, or text anytime day or night! ",Park Terrace East,"['Pre-War', 'Laundry in Building']",low,40.8696,7004320,-73.9174,f35186d124ddcc40fd675605e166c839,[],2500,10 Park Terrace East,833.3333333333334,"40.8696,-73.9174", New York County,not available,179.63951099961074
100386,1.0,1,d64120032c7c77ed2d3caf743b33201b,2016-04-28 02:38:41,"This is a RENOVATED apartment on the PENTHOUSE Floor in an Elevator Building! The kitchen is new and is equipped with FULL-SIZED Stainless Steel appliances and marble-tiled bathroom. The apartment has hardwood floors throughout. This Apartment has TONS OF NATURAL LIGHTS. A MUST SEE APARTMENT in Turtle Bay!<br /><br />This elevator & laundry building features classic New York City style with beautiful lobby, nicely painted crown moldings and marble floor throughout the hallways. Pets OK,  OK, Out-of-State Guarantors OK!<br /><br />Location! Location! Location! It's located right in the middle and the neighborhood is called TURTLE BAY. Turtle Bay is one of the best kept secrets in Manhattan. Convenient to the subway and all neighborhood services, such as the dry-cleaner, supermarket, boutique local stores, pharmacy, and also so many great New York City restaurants.<br /><br />Call or email Mark for an exclusive showing of this and many more listings in NYC.<br /><br /><br /><br />Bond New York is a real estate broker that supports equal housing opportunity.<p><a  website_redacted ",E 51 Street,"['Doorman', 'Elevator', 'Hardwood Floors', 'Dogs Allowed', 'Cats Allowed']",medium,40.755,6935754,-73.9663,1dc73580d149c88bd976bba1c4a02b12,"['https://photos.renthop.com/2/6935754_0d2c11a8840c4aa691d1a0801b595448.jpg', 'https://photos.renthop.com/2/6935754_6957f8f79e9db2d48c16188cec4b5394.jpg', 'https://photos.renthop.com/2/6935754_512e2f966685b6aa48fa9108dc42eb97.jpg', 'https://photos.renthop.com/2/6935754_1599465e88f71ccfc6fc89bebf317d15.jpg', 'https://photos.renthop.com/2/6935754_5244f604e1bc420913db22200fe8ad7b.jpg']",2675,343 E 51 Street,1337.5,"40.755,-73.9663", New York County,not available,360.47328650962794
62458,1.0,1,2094beb4097c7f56670afba5b01b31a4,2016-05-10 05:24:20,"The exceptional lobby of this building sets the standard for luxury living. Every detail of the public spaces conveys quality, from the quiet high-speed elevators and warmly lit corridors to the custom-framed apartment entries of each large one-, two- and three-bedroom apartment.. The pleasures of living here include an attentive staff, a magnificent swim and fitness center, lap pool, saunas, and playroom. The historic Turtle Bay area offers the vibrant best of multi-cultural New York, from great shopping, to parks and open air markets, restaurants, and cultural events. CALL NOW!! Aaron 877-414-4100 or Tomer 877-414-4100 *Pictures are of similar units<br /><br /><br /><br /><br /><br /><p><a  website_redacted ",E 39th St.,"['Swimming Pool', 'Roof Deck', 'Doorman', 'Elevator', 'Fitness Center', 'Pre-War', 'Laundry in Building', 'Dishwasher', 'Hardwood Floors', 'No Fee']",low,40.7479,6990751,-73.9746,5599e962719af3ccc2976855c2d5893c,"['https://photos.renthop.com/2/6990751_b6adc781090c4a5a16cb924069eca22d.jpg', 'https://photos.renthop.com/2/6990751_3aa47fc3d483dbc0e9ba7d8558a44143.jpg', 'https://photos.renthop.com/2/6990751_b7fc29fa098bb635a2388b496d22624d.jpg']",3595,240 E 39th St.,1797.5,"40.7479,-73.9746", New York County,not available,410.56504093143934
44821,1.0,3,739f7d4f88d6ba0307c17408aefac580,2016-05-19 01:50:45,,West 109th Street,"['Prewar', 'Cats Allowed', 'Dogs Allowed']",low,40.8007,7035452,-73.961,b7de4cb395920136663132057fa89d84,[],2850,66 West 109th Street,712.5,"40.8007,-73.961", New York County,not available,247.8844894568686
7904,1.0,1,eecb5b0c50cfa91ce21d340e2a330511,2016-06-07 05:33:44,"28TH/ LEX! MASSIVE 750 SF DUPLEX 1 BED WITH BALCONY! STUNNING LOCATION CLOSE TO RESTAURANTS, TRAIN STATION! LUX ELEV, LDRY BLG!Huge DUPLEX 1 bedroom with balcony! located in a luxury elevator building with laundry on a Prime Murray Hill location!This apartment has a huge gorgeous open granite eat-in-kitchen with dishwasher and full-size appliances. Living room easily fits large sectional couch as well as a large entertainment center and additional furniture. Bedroom fits a queen size bed with dresser, and nightstand. Enormous walk-in closet space. High ceilings. Central AC and heat. Heat and hot water included. Video intercom and alarm system. Distance to the train and shopping stores is right at your finger tips!<br /><br />Contact Chris to set up an appointment (170-304-7893 or kagglemanager@renthop.com<br /><br /><br /><br /><p><a  website_redacted ",Lexington Avenue,"['Elevator', 'Laundry in Building', 'Hardwood Floors']",medium,40.7435,7120719,-73.9815,cb87dadbca78fad02b388dc9e8f25a5b,"['https://photos.renthop.com/2/7120719_e6f9abe26d9a6e5268de8e99d906e719.jpg', 'https://photos.renthop.com/2/7120719_c9a26f01175a843b792f0a866febfc45.jpg', 'https://photos.renthop.com/2/7120719_5bf92d02f6ff92dc806773e6d67a067a.jpg', 'https://photos.renthop.com/2/7120719_ea5639f547ac83ad8cd3f53eef9c35e8.jpg']",2800,151 Lexington Avenue,1400.0,"40.7435,-73.9815", New York County,not available,238.2832834075572
122468,1.0,3,be6b7c3fdf3f63a2756306f4af7788a6,2016-04-17 05:33:12,"**NO FEE!!!**WANT TO BE IN THE CENTER OF THE ACTION?!?**This 3 BR gem in the heart of Soho will not last long. This apartment just hit the market today. VERY RARE FIND**SUPER PRIME LOCATION in SOHO****WILDLY HIGH CEILINGS**<br /><br />Just Renovated, clean, quiet, light and bright 3 bedroom including an eat in kitchen with full size appliances. Ample closet space with each room having it's own closet and enough room for Queen size beds.Out of State guarantors OK!<br /><br />**THIS APARTMENT IS A STEAL**<br /><br />My name is Ryan Umane from Mdrn Residential and I specialize in the SOHO area. I would be happy to assist you in finding an apartment to be your next home. Call or email me today with any questions and/or to schedule an exclusive viewing and tour. I can be reached at 211-616-7656 or kagglemanager@renthop.com<p><a  website_redacted ",Thompson Street,"['Dining Room', 'Dishwasher', 'Hardwood Floors', 'No Fee']",medium,40.7231,6887930,-74.0044,f403f02183c46e92f0d690db49085c38,"['https://photos.renthop.com/2/6887930_ec5d638ee9d0c483eeb5d3436f223555.jpg', 'https://photos.renthop.com/2/6887930_9d98d3fb8666fd81666374e169ae640a.jpg', 'https://photos.renthop.com/2/6887930_46aca7d8ec2124809dd4a5cd88e34f74.jpg', 'https://photos.renthop.com/2/6887930_7a50c751c9db627e2729973764001cce.jpg', 'https://photos.renthop.com/2/6887930_a018460e6a9a17811c5f31d5cebafeb9.jpg']",3941,25 Thompson Street,985.25,"40.7231,-74.0044", New York County,not available,160.91690129499054
108664,1.0,0,766241ad10fb6a35b12b03758d86cd5c,2016-04-29 06:16:11,"Newly renovated studio in upper east village stainless steel kitchen, tile bath wonderful lighting, great layout<br /><br /><br /><br /><br /><br /><p><a  website_redacted ",2nd Ave.,"['Doorman', 'Elevator', 'Pre-War', 'Laundry in Building']",low,40.7301,6943461,-73.9865,781c05e464ce94eaa436401d07f2a6cc,"['https://photos.renthop.com/2/6943461_26c3dd4745fa34e400373370ba9be7f7.jpg', 'https://photos.renthop.com/2/6943461_1bd26952faee6d8ef57e4d8bd477ff70.jpg', 'https://photos.renthop.com/2/6943461_02304c11aba1953523aea13ce4a8d42c.jpg', 'https://photos.renthop.com/2/6943461_325865aafa84ac99e91f97022866cb68.jpg']",3025,166 2nd Ave.,3025.0,"40.7301,-73.9865",not available,not available,294.6201317580459
29648,1.0,1,3298ce7d107e3990e5028c15f35dc3d8,2016-06-21 05:13:44,,West 73rd Street,"['Cats Allowed', 'Dogs Allowed', 'Exclusive']",low,40.7781,7191604,-73.978,d1737922fe92ccb0dc37ba85589e6415,[],2730,67 West 73rd Street,1365.0,"40.7781,-73.978",not available,not available,319.1299877552497
69137,2.0,2,a2d9b37d37058daf04869cc34b4761fa,2016-05-26 03:52:24,        Listed: 5/25/16 <br />Available: Immediate <br /><br />Apartment Features:<br /> Maple Kitchen Cabinetry<br />Ceramic Floor Kitchen<br />Full Whirlpool Appliance Package<br />Hollywood Lighting Medicine Cabinets <br />Classic White Tiling Bathroom<br />Deep Soaking Tub<br />Generous Closet Space <br />King Sized Bed Friendly Bedroom <br />Parquet Floors throughout Apartment <br /><br />Building Features: <br />Complimentary Gym<br />On-Site Concierge <br />Live-In Super<br />Seven Day a Week Porter<br />Landscaped Courtyard <br />Laundry On-Site<br />Complimentary Bike Storage<br /><br />Neighborhood Features: <br />Stewart Park <br />Lower East Side Tenement Museum<br />An Abundance of Bars and Restaurant<br />Many Fine Cafes <br />Essex Street Market<br />Century Pharmacy <br />Sunshine Cinemas ,Rutgers Street,"['Doorman', 'Elevator', 'Fitness Center', 'Cats Allowed', 'Dogs Allowed']",low,40.7138,7070756,-73.9903,e6472c7237327dd3903b3d6f6a94515a,"['https://photos.renthop.com/2/7070756_805dec6e4b5d3965781bf660541d2cd5.jpg', 'https://photos.renthop.com/2/7070756_0679bdc56207f7260b02ae9117919c59.jpg', 'https://photos.renthop.com/2/7070756_c4a98437a718fd9bf961fb25c9d8e625.jpg', 'https://photos.renthop.com/2/7070756_56a7883863562434d16177215935c09a.jpg', 'https://photos.renthop.com/2/7070756_af1e3b623d0a9de4e983d7e4b4554c24.jpg']",4000,10 Rutgers Street,1000.0,"40.7138,-73.9903", New York County,not available,12.054947451727177
41243,1.0,1,fa21c83e114de7fd5cedff34e93f4f1a,2016-06-08 02:29:53,"Beautiful 1BR apartment in prime Chelsea location .The Apt is in mint condition with Gourmet granite kitchen, Renovated marble Bath, Huge windows. Polished hardwood floors.The Building Features Doorman,landscaped Roof Sundeck, Laundry facilities live in super.Call or email Lucas for an exclusive showing of this and many more listings in NYC.  <br /><br />Bond New York is a real estate broker that supports equal housing opportunity.<p><a  website_redacted ",W 20 Street,"['Roof Deck', 'Doorman', 'Elevator', 'Dishwasher', 'Hardwood Floors', 'Dogs Allowed', 'Cats Allowed']",low,40.7456,7123516,-74.0053,ffd7307e4924587b30ec014a95db1362,"['https://photos.renthop.com/2/7123516_db51456a783bf776639f61822a50efc8.jpg', 'https://photos.renthop.com/2/7123516_497edf51209e706d71969eac1c415236.jpg', 'https://photos.renthop.com/2/7123516_38cb8657ea32b4040c48821de70bd760.jpg', 'https://photos.renthop.com/2/7123516_a6eb5c532946203ec0f976c93844e771.jpg', 'https://photos.renthop.com/2/7123516_a1c586438d60b6338c522792da06ff47.jpg']",3950,460 W 20 Street,1975.0,"40.7456,-74.0053", New York County,not available,605.1357103397073
